,Modified,Initial,Winsorization,Linear Approximation,Correlation
0,336.77,336.77,336.77,336.77,336.77
1,0.0,338.77,334.89,336.1433333333333,346.67851060313046
2,0.0,340.22,334.89,335.51666666666665,345.7285106031304
3,334.89,334.89,334.89,334.89,334.89
4,344.21,344.21,344.21,344.21,344.21
5,0.0,344.0,344.21,342.625,347.82851060313044
6,341.04,341.04,341.04,341.04,341.04
7,340.7,340.7,340.7,340.7,340.7
8,336.57,336.57,336.57,336.57,336.57
9,331.39,331.39,331.39,331.39,331.39
10,327.51,327.51,327.51,327.51,327.51
11,0.0,327.0,327.51,329.315,341.8885106031305
12,331.12,331.12,331.12,331.12,331.12
13,333.33,333.33,333.33,333.33,333.33
14,332.11,332.11,332.11,332.11,332.11
15,336.83,336.83,336.83,336.83,336.83
16,0.0,339.47,336.83,338.91499999999996,346.8985106031305
17,341.0,341.0,341.0,341.0,341.0
18,0.0,334.44,341.0,339.625,344.60851060313047
19,0.0,332.37,341.0,338.25,341.2685106031305
20,0.0,329.03,341.0,336.875,340.75851060313045
21,335.5,335.5,335.5,335.5,335.5
22,344.58,344.58,344.58,344.58,344.58
23,346.65,346.65,346.65,346.65,346.65
24,355.45,355.45,355.45,355.45,355.45
25,356.66,356.66,356.66,356.66,356.66
26,0.0,351.55,356.66,352.125,353.30851060313046
27,347.59,347.59,347.59,347.59,347.59
28,347.56,347.56,347.56,347.56,347.56
29,0.0,349.93,347.56,350.72,349.2185106031304
30,353.88,353.88,353.88,353.88,353.88
31,353.76,353.76,353.76,353.76,353.76
32,0.0,348.15,353.76,348.265,348.3985106031305
33,342.77,342.77,342.77,342.77,342.77
34,346.23,346.23,346.23,346.23,346.23
35,327.29,327.29,327.29,327.29,327.29
36,323.02,323.02,323.02,323.02,323.02
37,0.0,324.99,323.02,326.98,337.05851060313046
38,0.0,326.09,323.02,330.94,337.19851060313044
39,334.9,334.9,334.9,334.9,334.9
40,334.47,334.47,334.47,334.47,334.47
41,0.0,329.06,334.47,332.08500000000004,337.3885106031305
42,329.7,329.7,329.7,329.7,329.7
43,0.0,329.33,329.7,328.68,336.49851060313046
44,327.66,327.66,327.66,327.66,327.66
45,316.61,316.61,316.61,316.61,316.61
46,0.0,324.26,316.61,316.24333333333334,334.0285106031305
47,0.0,316.43,316.61,315.87666666666667,328.7885106031305
48,315.51,315.51,315.51,315.51,315.51
49,0.0,321.41,315.51,324.93,333.81851060313045
50,334.35,334.35,334.35,334.35,334.35
51,333.06,333.06,333.06,333.06,333.06
52,340.75,340.75,340.75,340.75,340.75
53,338.78,338.78,338.78,338.78,338.78
54,0.0,339.0,338.78,337.04,344.7785106031305
55,0.0,337.01,338.78,335.3,342.33851060313043
56,333.56,333.56,333.56,333.56,333.56
57,0.0,334.39,333.56,334.1783333333333,341.9785106031304
58,0.0,342.9,333.56,334.7966666666666,346.2185106031304
59,0.0,340.89,333.56,335.41499999999996,345.41851060313047
60,0.0,341.74,333.56,336.0333333333333,345.5285106031305
61,0.0,341.11,333.56,336.65166666666664,343.20851060313043
62,337.27,337.27,337.27,337.27,337.27
63,338.39,338.39,338.39,338.39,338.39
64,0.0,333.32,338.39,335.645,340.4085106031305
65,332.9,332.9,332.9,332.9,332.9
66,340.58,340.58,340.58,340.58,340.58
67,350.21,350.21,350.21,350.21,350.21
68,367.27,367.27,367.27,367.27,367.27
69,354.6,354.6,354.6,354.6,354.6
70,0.0,354.32,354.6,354.425,347.93851060313045
71,354.25,354.25,354.25,354.25,354.25
72,0.0,362.94,354.25,358.47,352.18851060313045
73,362.69,362.69,362.69,362.69,362.69
74,359.96,359.96,359.96,359.96,359.96
75,349.12,349.12,349.12,349.12,349.12
76,355.64,355.64,355.64,355.64,355.64
77,0.0,371.34,355.64,365.89,355.79851060313047
78,376.14,376.14,376.14,376.14,376.14
79,0.0,381.7,376.14,380.15,358.69851060313044
80,384.16,384.16,384.16,384.16,384.16
81,382.91,382.91,382.91,382.91,382.91
82,382.5,382.5,382.5,382.5,382.5
83,0.0,382.02,382.5,382.44,358.4685106031304
84,382.38,382.38,382.38,382.38,382.38
85,378.98,378.98,378.98,378.98,378.98
86,367.55,367.55,367.55,367.55,367.55
