<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.BABA,D,20201130,0,269.0000000,272.5000000,260.0000000,263.0400000,896377
SPBEX.BABA,D,20201201,0,262.9100000,267.9300000,261.6000000,264.0800000,592688
SPBEX.BABA,D,20201202,0,264.0200000,264.4000000,260.1200000,261.2700000,506338
SPBEX.BABA,D,20201203,0,261.3300000,268.6000000,260.5700000,266.9500000,664517
SPBEX.BABA,D,20201204,0,266.9100000,271.9500000,266.2500000,267.1300000,568937
SPBEX.BABA,D,20201205,0,267.2500000,267.3300000,266.7100000,267.0000000,17104
SPBEX.BABA,D,20201207,0,269.5000000,270.6300000,262.6700000,264.0100000,407395
SPBEX.BABA,D,20201208,0,263.9000000,268.3500000,263.8100000,266.0500000,305391
SPBEX.BABA,D,20201209,0,266.0000000,268.0400000,263.1000000,263.7700000,386885
SPBEX.BABA,D,20201210,0,263.6700000,266.0900000,260.5800000,264.9900000,361657
SPBEX.BABA,D,20201211,0,265.0000000,267.4800000,262.0000000,264.5000000,304178
SPBEX.BABA,D,20201212,0,264.5400000,264.6500000,264.2000000,264.2000000,3044
SPBEX.BABA,D,20201214,0,263.0400000,263.0400000,256.2800000,256.3600000,757129
SPBEX.BABA,D,20201215,0,257.2500000,257.5000000,252.3000000,255.2100000,710434
SPBEX.BABA,D,20201216,0,255.2900000,263.1600000,254.8000000,261.9900000,661799
SPBEX.BABA,D,20201217,0,262.1900000,265.8700000,260.2900000,264.4900000,547988
SPBEX.BABA,D,20201218,0,264.3100000,265.1500000,259.2100000,259.9900000,549232
SPBEX.BABA,D,20201219,0,260.0000000,260.7500000,259.0100000,260.0000000,21380
SPBEX.BABA,D,20201221,0,257.4300000,262.3000000,252.3200000,260.3700000,532105
SPBEX.BABA,D,20201222,0,260.4500000,260.7200000,254.0800000,255.8400000,456217
SPBEX.BABA,D,20201223,0,256.1200000,257.3500000,252.5400000,256.1300000,427430
SPBEX.BABA,D,20201224,0,256.1000000,256.1800000,211.2500000,221.9000000,4328040
SPBEX.BABA,D,20201228,0,218.0000000,225.0000000,210.0000000,222.5900000,2776726
SPBEX.BABA,D,20201229,0,222.6200000,239.1900000,220.1000000,236.3300000,2123674
SPBEX.BABA,D,20201230,0,236.4700000,245.3300000,234.6400000,238.4800000,1670265
SPBEX.BABA,D,20201231,0,238.5000000,239.5000000,228.2000000,232.6300000,982964
SPBEX.BABA,D,20210104,0,231.3300000,234.5000000,225.0500000,227.8100000,1281695
SPBEX.BABA,D,20210105,0,227.7400000,240.7600000,227.0500000,240.4700000,1278575
SPBEX.BABA,D,20210106,0,240.4200000,240.9700000,225.8000000,227.5000000,1544408
SPBEX.BABA,D,20210107,0,227.7600000,231.4800000,220.0900000,227.0000000,1755532
SPBEX.BABA,D,20210108,0,227.0100000,238.5800000,225.0200000,236.2400000,1495310
SPBEX.BABA,D,20210109,0,236.1900000,236.6000000,235.8500000,236.4000000,37954
SPBEX.BABA,D,20210111,0,234.5000000,234.5000000,225.8900000,227.1900000,936879
SPBEX.BABA,D,20210112,0,227.1900000,229.6800000,225.1600000,225.5900000,857293
SPBEX.BABA,D,20210113,0,225.8200000,240.4900000,225.4500000,235.2300000,1473249
SPBEX.BABA,D,20210114,0,235.5000000,245.7000000,234.6300000,242.9900000,1508105
SPBEX.BABA,D,20210115,0,243.0300000,248.2000000,242.1500000,243.4000000,1018056
SPBEX.BABA,D,20210116,0,243.4000000,243.4600000,242.4500000,242.8000000,15693
SPBEX.BABA,D,20210119,0,245.1400000,252.8800000,245.1400000,251.7100000,960894
SPBEX.BABA,D,20210120,0,252.0000000,271.9800000,251.5100000,265.6500000,1879373
SPBEX.BABA,D,20210121,0,265.5900000,266.1000000,257.9000000,259.8500000,992689
SPBEX.BABA,D,20210122,0,259.9600000,260.5000000,255.2000000,258.6700000,743574
SPBEX.BABA,D,20210123,0,258.7500000,259.0100000,257.1000000,258.3100000,24624
SPBEX.BABA,D,20210125,0,260.9000000,266.1600000,257.8300000,261.4400000,852837
SPBEX.BABA,D,20210126,0,261.5200000,265.9800000,259.7100000,265.9100000,711399
SPBEX.BABA,D,20210127,0,265.8100000,268.4100000,259.9800000,260.4200000,851114
SPBEX.BABA,D,20210128,0,260.7000000,261.5600000,253.0700000,260.8000000,628135
SPBEX.BABA,D,20210129,0,261.0000000,261.3500000,248.1000000,253.9500000,753108
SPBEX.BABA,D,20210130,0,253.6400000,255.0000000,253.5100000,253.8500000,19713
SPBEX.BABA,D,20210201,0,255.5000000,264.9900000,255.1900000,264.8100000,673610
SPBEX.BABA,D,20210202,0,264.8000000,267.9900000,254.0900000,254.6100000,1668122
SPBEX.BABA,D,20210203,0,254.2500000,268.2700000,254.2500000,263.3600000,1886837
SPBEX.BABA,D,20210204,0,263.4000000,271.9000000,263.4000000,267.4300000,1138327
SPBEX.BABA,D,20210205,0,267.6800000,268.0000000,263.2200000,265.6700000,610072
SPBEX.BABA,D,20210206,0,265.6000000,266.2900000,265.3100000,266.0200000,18138
SPBEX.BABA,D,20210208,0,266.1200000,269.7100000,261.8300000,262.6600000,585987
SPBEX.BABA,D,20210209,0,262.4800000,267.2000000,261.4700000,266.5700000,673695
SPBEX.BABA,D,20210210,0,266.7500000,270.3700000,264.6600000,267.7200000,767627
