<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.AMZN,D,20201130,0,3197.0000000,3228.3400000,3125.7500000,3169.7600000,130712
SPBEX.AMZN,D,20201201,0,3168.0400000,3248.7500000,3157.1800000,3219.3900000,455757
SPBEX.AMZN,D,20201202,0,3220.0800000,3240.9900000,3173.5000000,3203.3800000,293623
SPBEX.AMZN,D,20201203,0,3203.5300000,3229.0000000,3181.6600000,3186.8700000,262244
SPBEX.AMZN,D,20201204,0,3186.7300000,3204.8000000,3158.5400000,3163.1000000,316838
SPBEX.AMZN,D,20201205,0,3162.5800000,3163.5000000,3157.2400000,3159.0000000,145387
SPBEX.AMZN,D,20201207,0,3184.9900000,3184.9900000,3141.5800000,3158.6000000,90493
SPBEX.AMZN,D,20201208,0,3159.0000000,3184.4100000,3120.3200000,3176.0800000,115993
SPBEX.AMZN,D,20201209,0,3177.2900000,3214.5700000,3088.0000000,3101.3500000,327403
SPBEX.AMZN,D,20201210,0,3101.0500000,3142.2800000,3073.7200000,3100.9100000,110531
SPBEX.AMZN,D,20201211,0,3101.4900000,3118.7200000,3073.0000000,3115.8500000,265384
SPBEX.AMZN,D,20201212,0,3116.4200000,3116.4200000,3112.0000000,3113.2500000,152882
SPBEX.AMZN,D,20201214,0,3114.0000000,3190.5600000,3111.9200000,3155.4900000,139744
SPBEX.AMZN,D,20201215,0,3156.9700000,3188.0000000,3130.5400000,3165.5700000,510479
SPBEX.AMZN,D,20201216,0,3165.7300000,3246.9200000,3159.0100000,3240.9600000,143886
SPBEX.AMZN,D,20201217,0,3240.9600000,3263.6900000,3221.3700000,3236.6800000,448033
SPBEX.AMZN,D,20201218,0,3236.0800000,3252.4400000,3171.2200000,3202.3600000,394503
SPBEX.AMZN,D,20201219,0,3201.6500000,3215.0000000,3199.9000000,3214.8000000,1361034
SPBEX.AMZN,D,20201221,0,3210.2400000,3226.7100000,3150.0000000,3205.9300000,131409
SPBEX.AMZN,D,20201222,0,3206.1800000,3222.0000000,3180.0800000,3205.4400000,309008
SPBEX.AMZN,D,20201223,0,3206.5200000,3210.0000000,3185.0100000,3186.0000000,187683
SPBEX.AMZN,D,20201224,0,3185.2700000,3220.0500000,3167.0000000,3170.9500000,242503
SPBEX.AMZN,D,20201228,0,3203.4900000,3304.0000000,3172.6900000,3283.6900000,187657
SPBEX.AMZN,D,20201229,0,3283.9600000,3350.4900000,3280.6400000,3322.1100000,333544
SPBEX.AMZN,D,20201230,0,3322.0000000,3350.0000000,3282.7900000,3288.3800000,233214
SPBEX.AMZN,D,20201231,0,3285.8500000,3307.8900000,3241.4100000,3256.7900000,269602
SPBEX.AMZN,D,20210104,0,3279.0000000,3285.9100000,3144.2800000,3185.6600000,128838
SPBEX.AMZN,D,20210105,0,3186.6300000,3223.5000000,3162.1100000,3219.4700000,397632
SPBEX.AMZN,D,20210106,0,3218.5100000,3220.0000000,3131.3500000,3136.7200000,319710
SPBEX.AMZN,D,20210107,0,3138.3800000,3209.0000000,3133.0000000,3162.8800000,324555
SPBEX.AMZN,D,20210108,0,3161.6000000,3190.6400000,3134.5800000,3182.0000000,552653
SPBEX.AMZN,D,20210109,0,3182.7000000,3185.0000000,3177.0000000,3178.5100000,211016
SPBEX.AMZN,D,20210111,0,3169.9900000,3174.0000000,3110.0000000,3115.7500000,135435
SPBEX.AMZN,D,20210112,0,3116.0000000,3146.9100000,3085.9400000,3120.9400000,124241
SPBEX.AMZN,D,20210113,0,3120.8300000,3189.7800000,3114.0200000,3165.8900000,465595
SPBEX.AMZN,D,20210114,0,3165.8900000,3200.0000000,3120.7500000,3129.1600000,115390
SPBEX.AMZN,D,20210115,0,3127.4700000,3143.2000000,3095.1700000,3105.0000000,366618
SPBEX.AMZN,D,20210116,0,3104.6800000,3109.0000000,3099.1400000,3100.0000000,3590
SPBEX.AMZN,D,20210119,0,3115.0000000,3145.0800000,3096.0500000,3120.0000000,111233
SPBEX.AMZN,D,20210120,0,3120.7600000,3279.9900000,3118.0400000,3263.8800000,390909
SPBEX.AMZN,D,20210121,0,3263.3800000,3348.5400000,3258.9900000,3307.4800000,437198
SPBEX.AMZN,D,20210122,0,3306.9900000,3330.0000000,3272.0200000,3290.0500000,285854
SPBEX.AMZN,D,20210123,0,3292.2300000,3295.2800000,3291.0000000,3291.8700000,212413
SPBEX.AMZN,D,20210125,0,3294.3500000,3363.7400000,3244.9900000,3293.0900000,127067
SPBEX.AMZN,D,20210126,0,3294.0000000,3338.0000000,3281.0000000,3325.2100000,311797
SPBEX.AMZN,D,20210127,0,3326.8100000,3397.9700000,3207.2200000,3236.4300000,151960
SPBEX.AMZN,D,20210128,0,3232.5800000,3301.8900000,3176.4900000,3239.4800000,423212
SPBEX.AMZN,D,20210129,0,3237.6200000,3247.9900000,3186.1600000,3206.1900000,362104
SPBEX.AMZN,D,20210130,0,3205.7100000,3209.0000000,3198.0000000,3202.6000000,295813
SPBEX.AMZN,D,20210201,0,3210.0000000,3350.0000000,3210.0000000,3342.8700000,140042
SPBEX.AMZN,D,20210202,0,3342.8800000,3426.2800000,3327.8700000,3389.0000000,392411
SPBEX.AMZN,D,20210203,0,3380.0000000,3475.0000000,3250.4000000,3310.5600000,484586
SPBEX.AMZN,D,20210204,0,3312.5300000,3352.0800000,3278.0000000,3330.8400000,328929
SPBEX.AMZN,D,20210205,0,3331.0000000,3377.0000000,3300.0000000,3353.2200000,243319
SPBEX.AMZN,D,20210206,0,3352.0000000,3352.1500000,3345.0000000,3346.0000000,6192
SPBEX.AMZN,D,20210208,0,3361.0000000,3389.7900000,3304.0000000,3323.5000000,131640
SPBEX.AMZN,D,20210209,0,3322.9400000,3349.0000000,3297.8700000,3305.9700000,203516
SPBEX.AMZN,D,20210210,0,3305.0000000,3324.2700000,3253.9100000,3285.2000000,186763
SPBEX.AMZN,D,20210211,0,3286.5800000,3297.1800000,3248.1000000,3260.7100000,205180
SPBEX.AMZN,D,20210212,0,3262.1300000,3280.0700000,3233.3100000,3279.0000000,195293
SPBEX.AMZN,D,20210213,0,3277.7100000,3281.8500000,3277.0000000,3278.5000000,141759
SPBEX.AMZN,D,20210216,0,3284.0600000,3309.0000000,3252.8300000,3270.3200000,101035
SPBEX.AMZN,D,20210217,0,3268.9500000,3320.7900000,3253.0100000,3308.6100000,261562
SPBEX.AMZN,D,20210218,0,3308.6400000,3338.0000000,3273.8500000,3329.0000000,253000
SPBEX.AMZN,D,20210219,0,3328.2300000,3343.8800000,3245.7200000,3250.4000000,285515
SPBEX.AMZN,D,20210220,0,3249.9000000,3251.8500000,3247.5000000,3248.2500000,161973
SPBEX.AMZN,D,20210222,0,3285.0000000,3285.0000000,3172.2600000,3180.5800000,123527
SPBEX.AMZN,D,20210223,0,3180.7400000,3206.4100000,3086.9300000,3194.7100000,380623
SPBEX.AMZN,D,20210224,0,3194.5000000,3224.8100000,3125.4900000,3161.0000000,294395
SPBEX.AMZN,D,20210225,0,3159.5300000,3178.2300000,3047.1100000,3057.1600000,293131
SPBEX.AMZN,D,20210226,0,3058.6700000,3152.0000000,3000.1700000,3092.3400000,147255
SPBEX.AMZN,D,20210227,0,3090.0000000,3095.0000000,3080.0000000,3084.6000000,7288
SPBEX.AMZN,D,20210301,0,3117.0000000,3150.0000000,3097.6300000,3144.2700000,101456
SPBEX.AMZN,D,20210302,0,3146.1400000,3163.0600000,3087.3000000,3095.0000000,287441
SPBEX.AMZN,D,20210303,0,3094.5300000,3130.0000000,2995.0000000,3005.0100000,308954
SPBEX.AMZN,D,20210304,0,3005.0000000,3058.2900000,2945.5100000,2981.0500000,395365
SPBEX.AMZN,D,20210305,0,2970.1000000,3017.0000000,2881.6300000,2953.0100000,129308
SPBEX.AMZN,D,20210308,0,3005.0000000,3064.0000000,2939.0900000,2953.0500000,140905
SPBEX.AMZN,D,20210309,0,2951.9500000,3090.9800000,2949.0000000,3062.2100000,333789
SPBEX.AMZN,D,20210310,0,3061.9500000,3115.3300000,3030.4900000,3057.6300000,365759
SPBEX.AMZN,D,20210311,0,3057.6400000,3131.2200000,3031.3800000,3113.8800000,266978
SPBEX.AMZN,D,20210312,0,3113.5900000,3124.0000000,3045.5000000,3090.8500000,262812
SPBEX.AMZN,D,20210313,0,3089.4900000,3091.0000000,3086.0000000,3087.0000000,172384
SPBEX.AMZN,D,20210315,0,3087.0000000,3100.0000000,3033.0100000,3081.7400000,311020
SPBEX.AMZN,D,20210316,0,3081.0000000,3128.7300000,3061.0000000,3091.8500000,258544
SPBEX.AMZN,D,20210317,0,3090.0000000,3173.1500000,3057.0000000,3137.9200000,312025
SPBEX.AMZN,D,20210318,0,3137.0000000,3171.0200000,3025.6700000,3036.0000000,374673
SPBEX.AMZN,D,20210319,0,3038.0000000,3077.2400000,3016.6800000,3071.6900000,141449
