<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.T,D,20201130,0,28.8800000,29.1500000,28.7000000,28.7600000,485481
SPBEX.T,D,20201201,0,28.7500000,29.1400000,28.7000000,28.8600000,554753
SPBEX.T,D,20201202,0,28.8900000,29.2000000,28.7700000,29.0900000,484844
SPBEX.T,D,20201203,0,29.1000000,29.2400000,28.9000000,29.2400000,502728
SPBEX.T,D,20201204,0,29.2300000,29.7500000,29.0600000,29.5300000,643051
SPBEX.T,D,20201205,0,29.5000000,29.5900000,29.5000000,29.5400000,5521
SPBEX.T,D,20201207,0,29.7100000,29.9200000,29.5000000,29.6400000,496600
SPBEX.T,D,20201208,0,29.6000000,30.9300000,29.4700000,30.8100000,962828
SPBEX.T,D,20201209,0,30.8100000,31.8800000,30.4000000,31.4600000,1088594
SPBEX.T,D,20201210,0,31.5500000,31.6100000,30.4800000,30.7000000,775755
SPBEX.T,D,20201211,0,30.6800000,31.1900000,30.3800000,31.0100000,659685
SPBEX.T,D,20201212,0,30.9700000,31.0700000,30.9100000,31.0300000,10006
SPBEX.T,D,20201214,0,30.9300000,31.3700000,30.4000000,30.5700000,553027
SPBEX.T,D,20201215,0,30.5400000,30.9200000,30.2800000,30.5800000,574611
SPBEX.T,D,20201216,0,30.6200000,30.8800000,30.2400000,30.2900000,558878
SPBEX.T,D,20201217,0,30.3200000,30.5400000,29.5400000,29.6200000,917599
SPBEX.T,D,20201218,0,29.6500000,29.9500000,29.2600000,29.3800000,874073
SPBEX.T,D,20201219,0,29.3600000,29.5000000,29.3600000,29.4200000,25683
SPBEX.T,D,20201221,0,29.6900000,30.0100000,28.5200000,29.0200000,774058
SPBEX.T,D,20201222,0,29.0700000,29.3500000,28.3300000,28.3900000,865133
SPBEX.T,D,20201223,0,28.4200000,28.9200000,28.3600000,28.7500000,738015
SPBEX.T,D,20201224,0,28.7500000,29.1600000,28.5000000,28.7400000,412549
SPBEX.T,D,20201228,0,28.9100000,29.1800000,28.5000000,28.5400000,803181
SPBEX.T,D,20201229,0,28.5500000,28.9400000,28.5200000,28.5500000,685521
SPBEX.T,D,20201230,0,28.5400000,28.7800000,28.4300000,28.4900000,620661
SPBEX.T,D,20201231,0,28.4900000,28.8000000,28.3900000,28.7500000,583250
SPBEX.T,D,20210104,0,28.8200000,29.4800000,28.5100000,29.4400000,993939
SPBEX.T,D,20210105,0,29.4400000,29.7400000,29.2000000,29.2600000,974781
SPBEX.T,D,20210106,0,29.2200000,30.0000000,29.2200000,29.8300000,962318
SPBEX.T,D,20210107,0,29.8300000,30.3900000,29.6800000,29.9200000,794742
SPBEX.T,D,20210108,0,29.9200000,29.9900000,28.7500000,29.0200000,1003159
SPBEX.T,D,20210109,0,29.0200000,29.0400000,28.9500000,29.0000000,16750
SPBEX.T,D,20210111,0,29.0600000,29.1000000,28.6600000,28.8700000,507395
SPBEX.T,D,20210112,0,28.8700000,29.0400000,28.5200000,28.7600000,1019083
SPBEX.T,D,20210113,0,28.7500000,28.9500000,28.4800000,28.6100000,619769
SPBEX.T,D,20210114,0,28.6100000,29.7600000,28.5400000,29.2900000,1290486
SPBEX.T,D,20210115,0,29.3500000,29.3700000,28.8600000,29.1800000,658211
SPBEX.T,D,20210116,0,29.1800000,29.2300000,29.1000000,29.1600000,11229
SPBEX.T,D,20210119,0,29.6000000,29.8000000,28.9000000,28.9400000,640711
SPBEX.T,D,20210120,0,28.9500000,29.2600000,28.7400000,28.9500000,508561
SPBEX.T,D,20210121,0,28.9600000,29.2000000,28.7700000,28.8400000,455266
SPBEX.T,D,20210122,0,28.8300000,29.0700000,28.5800000,28.9300000,517673
SPBEX.T,D,20210123,0,28.9300000,29.0500000,28.9300000,28.9500000,10926
SPBEX.T,D,20210125,0,29.0200000,29.2500000,28.4900000,29.1300000,738073
SPBEX.T,D,20210126,0,29.0900000,29.8400000,28.8500000,29.7200000,897919
SPBEX.T,D,20210127,0,29.6600000,30.1900000,28.6000000,29.1400000,1705045
SPBEX.T,D,20210128,0,29.0800000,29.7000000,28.7800000,28.7900000,911802
SPBEX.T,D,20210129,0,28.8900000,29.0400000,28.5800000,28.6200000,839259
SPBEX.T,D,20210130,0,28.6400000,28.7700000,28.6300000,28.6800000,33359
SPBEX.T,D,20210201,0,29.0600000,29.0600000,28.3300000,28.6400000,821187
SPBEX.T,D,20210202,0,28.7500000,28.9400000,28.3900000,28.5200000,756618
SPBEX.T,D,20210203,0,28.5800000,28.8000000,28.4600000,28.5200000,653220
SPBEX.T,D,20210204,0,28.5700000,28.8900000,28.4600000,28.8800000,543346
SPBEX.T,D,20210205,0,28.8900000,29.0700000,28.7600000,28.9300000,401726
SPBEX.T,D,20210206,0,28.9100000,28.9700000,28.9000000,28.9400000,16274
SPBEX.T,D,20210208,0,29.0000000,29.1900000,28.6200000,28.7600000,638326
SPBEX.T,D,20210209,0,28.7700000,28.8700000,28.5600000,28.6200000,592805
SPBEX.T,D,20210210,0,28.6400000,28.8100000,28.4800000,28.5400000,791443
SPBEX.T,D,20210211,0,28.5500000,28.7000000,28.4600000,28.7000000,642875
SPBEX.T,D,20210212,0,28.6800000,28.8400000,28.5100000,28.8000000,421547
SPBEX.T,D,20210213,0,28.8200000,28.8200000,28.7200000,28.7800000,29915
SPBEX.T,D,20210216,0,29.0600000,29.1800000,28.7300000,28.9700000,664046
SPBEX.T,D,20210217,0,28.9500000,29.7400000,28.8000000,29.5700000,972024
SPBEX.T,D,20210218,0,29.5500000,29.7700000,29.1900000,29.2300000,611553
SPBEX.T,D,20210219,0,29.2500000,29.4100000,28.9800000,28.9900000,507620
SPBEX.T,D,20210220,0,28.9900000,29.1000000,28.9700000,28.9900000,29469
SPBEX.T,D,20210222,0,29.1300000,29.5600000,28.8600000,29.3100000,608373
SPBEX.T,D,20210223,0,29.3800000,29.8000000,28.9200000,29.1700000,910184
SPBEX.T,D,20210224,0,29.2300000,29.6000000,29.1200000,29.3900000,600802
SPBEX.T,D,20210225,0,29.4100000,29.5000000,28.6000000,28.6300000,1126289
SPBEX.T,D,20210226,0,28.6400000,29.0000000,27.8900000,27.9000000,1361364
SPBEX.T,D,20210227,0,27.9900000,28.1200000,27.8900000,28.0300000,78671
SPBEX.T,D,20210301,0,28.1000000,28.4400000,28.0200000,28.1000000,941817
SPBEX.T,D,20210302,0,28.0800000,28.4600000,28.0600000,28.2200000,691832
SPBEX.T,D,20210303,0,28.2600000,28.9300000,28.1700000,28.7300000,923527
SPBEX.T,D,20210304,0,28.7100000,29.3100000,28.5000000,28.9000000,1291398
SPBEX.T,D,20210305,0,28.8900000,29.6300000,28.5500000,29.6200000,930598
SPBEX.T,D,20210308,0,29.6400000,30.3800000,28.5600000,29.9900000,1047028
SPBEX.T,D,20210309,0,29.9800000,30.3500000,29.6300000,29.6400000,911778
SPBEX.T,D,20210310,0,29.6600000,30.1600000,29.5700000,29.9800000,789237
SPBEX.T,D,20210311,0,30.0000000,30.2200000,29.5000000,29.5300000,655158
SPBEX.T,D,20210312,0,29.5200000,30.8600000,29.4900000,29.8100000,1108398
SPBEX.T,D,20210313,0,29.8100000,29.8600000,29.7900000,29.8400000,15485
SPBEX.T,D,20210315,0,29.8400000,30.1200000,29.6800000,29.9200000,788883
SPBEX.T,D,20210316,0,29.9100000,30.1500000,29.7000000,29.9900000,496370
SPBEX.T,D,20210317,0,29.9800000,30.2300000,29.8000000,30.1100000,664572
SPBEX.T,D,20210318,0,30.1000000,30.4900000,29.9400000,30.0200000,545508
SPBEX.T,D,20210319,0,30.0300000,30.1500000,29.6200000,29.7300000,669172
SPBEX.T,D,20210320,0,29.7500000,29.7900000,29.7300000,29.7900000,1699
SPBEX.T,D,20210322,0,29.8400000,30.0000000,29.5900000,29.9400000,516022
SPBEX.T,D,20210323,0,29.9400000,30.2600000,29.8200000,30.0200000,510310
SPBEX.T,D,20210324,0,30.0000000,30.2800000,29.8600000,29.9900000,657081
SPBEX.T,D,20210325,0,29.9900000,30.2700000,29.8100000,30.0800000,608446
SPBEX.T,D,20210326,0,30.0800000,30.6000000,30.0300000,30.3400000,807145
SPBEX.T,D,20210327,0,30.3400000,30.3700000,30.3200000,30.3400000,1157
SPBEX.T,D,20210329,0,30.1100000,30.6400000,30.1100000,30.5700000,627754
SPBEX.T,D,20210330,0,30.5700000,30.7800000,30.3500000,30.7200000,567784
SPBEX.T,D,20210331,0,30.7200000,30.8800000,30.2000000,30.3000000,811666
SPBEX.T,D,20210401,0,30.3000000,30.4900000,30.0300000,30.4500000,572556
SPBEX.T,D,20210402,0,30.4600000,30.4700000,30.4500000,30.4600000,542
SPBEX.T,D,20210405,0,30.5300000,30.9000000,30.3000000,30.7300000,598860
SPBEX.T,D,20210406,0,30.7300000,30.9900000,30.5900000,30.9800000,524261
SPBEX.T,D,20210407,0,30.9700000,31.1400000,30.8000000,30.9000000,540117
SPBEX.T,D,20210408,0,30.9000000,30.9500000,29.9300000,30.0200000,801764
SPBEX.T,D,20210409,0,30.0200000,30.2900000,29.9100000,30.0000000,411112
SPBEX.T,D,20210410,0,30.0000000,30.0300000,29.9500000,29.9700000,1542
SPBEX.T,D,20210412,0,29.9400000,30.1700000,29.9000000,29.9700000,323881
SPBEX.T,D,20210413,0,29.9800000,30.3100000,29.5100000,29.6000000,560964
SPBEX.T,D,20210414,0,29.6000000,29.8900000,29.3100000,29.7200000,684170
SPBEX.T,D,20210415,0,29.7200000,29.9500000,29.5100000,29.7500000,343841
SPBEX.T,D,20210416,0,29.7500000,30.0300000,29.7000000,29.8900000,383975
SPBEX.T,D,20210417,0,29.9000000,29.9800000,29.8900000,29.9500000,6778
SPBEX.T,D,20210419,0,30.0500000,30.2000000,29.7800000,29.9800000,2066172
SPBEX.T,D,20210420,0,29.9800000,30.2000000,29.8500000,29.9000000,1923871
SPBEX.T,D,20210421,0,29.8900000,30.2400000,29.8500000,30.1000000,3466211
SPBEX.T,D,20210422,0,30.1000000,31.8900000,30.0000000,31.3100000,12542438
