mastercard,visa,at&t,amazon,alibaba
336.7700000,210.5100000,28.7600000,3169.7600000,263.0400000
338.7700000,211.1500000,28.8600000,3219.3900000,264.0800000
340.2200000,210.2000000,29.0900000,3203.3800000,261.2700000
334.8900000,207.9900000,29.2400000,3186.8700000,266.9500000
344.2100000,212.6500000,29.5300000,3163.1000000,267.1300000
344.0000000,212.3000000,29.5400000,3159.0000000,267.0000000
341.0400000,212.6500000,29.6400000,3158.6000000,264.0100000
340.7000000,212.8100000,30.8100000,3176.0800000,266.0500000
336.5700000,209.5700000,31.4600000,3101.3500000,263.7700000
331.3900000,207.5400000,30.7000000,3100.9100000,264.9900000
327.5100000,206.2400000,31.0100000,3115.8500000,264.5000000
327.0000000,206.3600000,31.0300000,3113.2500000,264.2000000
331.1200000,207.2400000,30.5700000,3155.4900000,256.3600000
333.3300000,208.3200000,30.5800000,3165.5700000,255.2100000
332.1100000,208.1800000,30.2900000,3240.9600000,261.9900000
336.8300000,211.1900000,29.6200000,3236.6800000,264.4900000
339.4700000,211.3700000,29.3800000,3202.3600000,259.9900000
341.0000000,211.9000000,29.4200000,3214.8000000,260.0000000
334.4400000,209.0800000,29.0200000,3205.9300000,260.3700000
332.3700000,205.7400000,28.3900000,3205.4400000,255.8400000
329.0300000,205.2300000,28.7500000,3186.0000000,256.1300000
335.5000000,208.5100000,28.7400000,3170.9500000,221.9000000
344.5800000,212.5000000,28.5400000,3283.6900000,222.5900000
346.6500000,214.2900000,28.5500000,3322.1100000,236.3300000
355.4500000,218.3300000,28.4900000,3288.3800000,238.4800000
356.6600000,218.6800000,28.7500000,3256.7900000,232.6300000
351.5500000,217.7800000,29.4400000,3185.6600000,227.8100000
347.5900000,214.5400000,29.2600000,3219.4700000,240.4700000
347.5600000,212.6100000,29.8300000,3136.7200000,227.5000000
349.9300000,213.6900000,29.9200000,3162.8800000,227.0000000
353.8800000,215.3800000,29.0200000,3182.0000000,236.2400000
353.7600000,215.5000000,29.0000000,3178.5100000,236.4000000
348.1500000,212.8700000,28.8700000,3115.7500000,227.1900000
342.7700000,208.8500000,28.7600000,3120.9400000,225.5900000
346.2300000,209.3800000,28.6100000,3165.8900000,235.2300000
327.2900000,201.8300000,29.2900000,3129.1600000,242.9900000
323.0200000,201.5700000,29.1800000,3105.0000000,243.4000000
324.9900000,201.5300000,29.1600000,3100.0000000,242.8000000
326.0900000,201.6700000,28.9400000,3120.0000000,251.7100000
334.9000000,205.9700000,28.9500000,3263.8800000,265.6500000
334.4700000,205.2000000,28.8400000,3307.4800000,259.8500000
329.0600000,201.8600000,28.9300000,3290.0500000,258.6700000
329.7000000,202.5000000,28.9500000,3291.8700000,258.3100000
329.3300000,200.9700000,29.1300000,3293.0900000,261.4400000
327.6600000,202.0100000,29.7200000,3325.2100000,265.9100000
316.6100000,195.1700000,29.1400000,3236.4300000,260.4200000
324.2600000,198.5000000,28.7900000,3239.4800000,260.8000000
316.4300000,193.2600000,28.6200000,3206.1900000,253.9500000
315.5100000,194.0200000,28.6800000,3202.6000000,253.8500000
321.4100000,198.2900000,28.6400000,3342.8700000,264.8100000
334.3500000,202.6100000,28.5200000,3389.0000000,254.6100000
333.0600000,201.3800000,28.5200000,3310.5600000,263.3600000
340.7500000,209.1500000,28.8800000,3330.8400000,267.4300000
338.7800000,208.7200000,28.9300000,3353.2200000,265.6700000
339.0000000,209.2500000,28.9400000,3346.0000000,266.0200000
337.0100000,206.8100000,28.7600000,3323.5000000,262.6600000
333.5600000,206.4800000,28.6200000,3305.9700000,266.5700000
334.3900000,206.4500000,28.5400000,3285.2000000,267.7200000
342.9000000,210.6900000,28.7000000,3260.7100000,269.1300000
340.8900000,209.8900000,28.8000000,3279.0000000,267.8400000
341.7400000,210.0000000,28.7800000,3278.5000000,268.9000000
341.1100000,207.6800000,28.9700000,3270.3200000,270.8500000
337.2700000,207.5200000,29.5700000,3308.6100000,270.9100000
338.3900000,209.4000000,29.2300000,3329.0000000,264.5500000
333.3200000,204.8800000,28.9900000,3250.4000000,263.5500000
332.9000000,204.7800000,28.9900000,3248.2500000,263.5900000
340.5800000,208.3100000,29.3100000,3180.5800000,254.0300000
350.2100000,212.1400000,29.1700000,3194.7100000,252.9100000
367.2700000,219.5700000,29.3900000,3161.0000000,250.4400000
354.6000000,213.8100000,28.6300000,3057.1600000,240.1300000
354.3200000,212.4100000,27.9000000,3092.3400000,237.8000000
354.2500000,212.4200000,28.0300000,3084.6000000,238.9800000
362.9400000,216.6600000,28.1000000,3144.2700000,241.5300000
362.6900000,215.8300000,28.2200000,3095.0000000,234.5400000
359.9600000,214.8600000,28.7300000,3005.0100000,236.3600000
349.1200000,211.6200000,28.9000000,2981.0500000,230.8500000
355.6400000,213.5600000,29.6200000,2953.0100000,232.3200000
371.3400000,220.2700000,29.9900000,2953.0500000,226.7700000
376.1400000,220.2500000,29.6400000,3062.2100000,238.3000000
381.7000000,223.1700000,29.9800000,3057.6300000,234.2200000
384.1600000,226.1700000,29.5300000,3113.8800000,241.1200000
382.9100000,224.2600000,29.8100000,3090.8500000,231.8400000
382.5000000,224.3500000,29.8400000,3087.0000000,232.3900000
382.0200000,222.9400000,29.9200000,3081.7400000,230.2500000
382.3800000,225.0000000,29.9900000,3091.8500000,227.0000000
378.9800000,223.0100000,30.1100000,3137.9200000,233.8000000
367.5500000,220.6600000,30.0200000,3036.0000000,236.0600000
358.5500000,207.1000000,29.7300000,3071.6900000,239.8700000
358.5000000,207.3400000,29.7900000,3067.0000000,240.1800000
358.5800000,208.4600000,29.9400000,3107.0000000,237.4400000
355.9100000,208.3000000,30.0200000,3140.2400000,237.8500000
359.0000000,208.1900000,29.9900000,3086.8400000,229.5500000
358.3600000,208.4900000,30.0800000,3054.8500000,223.7500000
365.5200000,213.0600000,30.3400000,3051.0200000,226.6700000
365.7000000,213.2200000,30.3400000,3053.4000000,225.9700000
363.2200000,214.6500000,30.5700000,3075.2800000,230.9200000
358.0000000,211.9000000,30.7200000,3054.1500000,229.4500000
356.3300000,212.1800000,30.3000000,3092.0000000,226.9400000
363.0500000,217.1400000,30.4500000,3159.0400000,224.3500000
363.4500000,216.9100000,30.4600000,3161.5200000,224.2000000
368.3700000,219.0200000,30.7300000,3230.0000000,225.0000000
369.9800000,218.5900000,30.9800000,3229.7700000,230.3300000
371.5000000,219.5000000,30.9000000,3283.0000000,225.3800000
378.5900000,221.1000000,30.0200000,3307.0000000,228.7900000
379.8300000,221.8000000,30.0000000,3369.0000000,222.8600000
379.9700000,222.1600000,29.9700000,3367.8800000,223.1000000
380.6600000,221.5600000,29.9700000,3396.0000000,243.9600000
379.0000000,221.0300000,29.6000000,3399.6800000,242.0200000
379.4900000,222.2800000,29.7200000,3335.9700000,239.7100000
385.5000000,226.1400000,29.7500000,3374.0000000,239.0400000
385.4900000,226.4100000,29.8900000,3395.6600000,238.7900000
386.4600000,226.0000000,29.9500000,3397.5100000,238.8200000
382.9000000,226.0000000,29.9800000,3370.3900000,234.8200000
376.2600000,223.2800000,29.9000000,3314.9800000,229.6600000
380.4200000,227.2400000,30.1000000,3357.7300000,229.4300000
383.2800000,228.3000000,31.3100000,3310.7000000,229.9000000
386.6000000,230.1400000,31.4000000,3340.2500000,231.9300000
386.5500000,230.1800000,31.4000000,3343.0000000,232.2500000
388.9900000,230.3000000,30.9100000,3420.1000000,232.5000000
393.5500000,235.0000000,30.7800000,3424.8200000,236.3500000
397.7800000,233.3300000,30.9000000,3484.3900000,237.0000000
388.4600000,236.6000000,31.2800000,3596.9900000,234.6000000
383.5900000,234.1900000,31.3900000,3467.9900000,231.0600000
382.0500000,233.8700000,31.3800000,3465.9400000,230.9500000
379.7200000,232.2800000,31.5200000,3386.1800000,230.7100000
375.2000000,232.0300000,32.0700000,3308.0000000,228.0000000
369.3700000,229.2500000,31.9700000,3269.6500000,227.0700000
376.4800000,231.2200000,32.4300000,3306.3700000,226.6400000
375.4800000,232.3000000,32.1800000,3289.9000000,225.4800000
375.1000000,232.3000000,32.1800000,3289.3000000,225.8600000
366.1000000,225.8800000,32.5500000,3184.0000000,219.0000000
367.5900000,225.7400000,32.2300000,3217.1800000,221.2000000
356.2700000,220.2900000,31.9100000,3150.0000000,220.0100000
358.1000000,223.8100000,32.2100000,3157.5000000,206.6500000
364.7600000,227.5000000,32.2800000,3224.0300000,209.6500000
364.0200000,227.0000000,32.2800000,3225.0100000,209.5000000
364.0000000,226.4100000,30.6700000,3274.7700000,211.5000000
362.0000000,225.2100000,29.5700000,3227.4700000,213.6000000
360.7400000,224.2100000,28.8800000,3231.0000000,212.4600000
367.5200000,226.4100000,29.6100000,3247.9900000,217.0000000
367.8400000,226.4200000,30.0400000,3199.8000000,210.8000000
367.7200000,226.7000000,29.9900000,3201.9500000,210.5500000
372.9900000,229.4500000,29.7900000,3247.9600000,210.5300000
367.4800000,229.2200000,29.5500000,3259.9000000,211.3300000
