<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.MA,D,20201130,0,335.3900000,338.7300000,330.2900000,336.7700000,119885
SPBEX.MA,D,20201201,0,336.5100000,342.5100000,334.6000000,338.7700000,115743
SPBEX.MA,D,20201202,0,338.8800000,340.2200000,334.0800000,340.2200000,89702
SPBEX.MA,D,20201203,0,340.2200000,342.2500000,334.1300000,334.8900000,88357
SPBEX.MA,D,20201204,0,335.1400000,344.2100000,334.9400000,344.2100000,91773
SPBEX.MA,D,20201205,0,344.3500000,344.3800000,342.0200000,344.0000000,633
SPBEX.MA,D,20201207,0,342.8300000,350.2000000,340.0800000,341.0400000,80355
SPBEX.MA,D,20201208,0,340.9600000,342.7200000,336.6800000,340.7000000,68723
SPBEX.MA,D,20201209,0,340.7900000,344.0300000,334.6900000,336.5700000,86030
SPBEX.MA,D,20201210,0,336.8500000,338.5000000,331.2400000,331.3900000,99265
SPBEX.MA,D,20201211,0,331.5200000,337.7100000,324.5000000,327.5100000,126869
SPBEX.MA,D,20201212,0,327.4200000,328.1000000,327.0000000,327.0000000,1612
SPBEX.MA,D,20201214,0,329.2400000,338.7500000,327.0000000,331.1200000,106990
SPBEX.MA,D,20201215,0,332.5500000,335.1500000,327.6200000,333.3300000,92867
SPBEX.MA,D,20201216,0,333.6500000,334.9000000,329.2900000,332.1100000,93365
SPBEX.MA,D,20201217,0,332.1000000,338.3500000,331.3500000,336.8300000,80748
SPBEX.MA,D,20201218,0,336.9000000,341.5300000,334.3500000,339.4700000,106610
SPBEX.MA,D,20201219,0,339.0000000,341.6800000,338.9100000,341.0000000,1437
SPBEX.MA,D,20201221,0,341.0000000,341.0000000,327.3000000,334.4400000,107017
SPBEX.MA,D,20201222,0,334.4500000,335.2000000,331.6000000,332.3700000,75925
SPBEX.MA,D,20201223,0,332.2400000,335.0700000,329.0300000,329.0300000,62299
SPBEX.MA,D,20201224,0,329.2300000,336.3700000,328.7500000,335.5000000,34615
SPBEX.MA,D,20201228,0,335.7900000,345.5800000,335.7900000,344.5800000,86805
SPBEX.MA,D,20201229,0,344.4700000,348.4700000,343.0500000,346.6500000,99509
SPBEX.MA,D,20201230,0,346.6600000,357.7700000,345.5100000,355.4500000,162223
SPBEX.MA,D,20201231,0,355.5500000,359.3400000,352.0100000,356.6600000,76393
SPBEX.MA,D,20210104,0,359.6100000,359.6100000,347.4100000,351.5500000,126718
SPBEX.MA,D,20210105,0,351.4900000,354.0200000,345.4400000,347.5900000,104259
SPBEX.MA,D,20210106,0,347.4200000,354.0300000,344.0100000,347.5600000,118150
SPBEX.MA,D,20210107,0,347.5500000,352.4300000,346.0000000,349.9300000,109081
