<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.V,D,20201130,0,209.3300000,211.3000000,205.4000000,210.5100000,196289
SPBEX.V,D,20201201,0,210.3500000,213.6700000,209.9900000,211.1500000,274316
SPBEX.V,D,20201202,0,211.2000000,212.3300000,208.5000000,210.2000000,248398
SPBEX.V,D,20201203,0,210.1800000,211.1100000,207.6200000,207.9900000,219328
SPBEX.V,D,20201204,0,208.0500000,212.6500000,208.0000000,212.6500000,231914
SPBEX.V,D,20201205,0,212.5800000,212.8000000,212.0900000,212.3000000,3398
SPBEX.V,D,20201207,0,212.3200000,214.4900000,211.0200000,212.6500000,254291
SPBEX.V,D,20201208,0,212.6500000,213.1300000,209.9500000,212.8100000,194534
SPBEX.V,D,20201209,0,212.7700000,214.0000000,208.9600000,209.5700000,274226
SPBEX.V,D,20201210,0,209.6000000,210.9700000,207.2500000,207.5400000,267904
SPBEX.V,D,20201211,0,207.6100000,208.8000000,204.5100000,206.2400000,235652
SPBEX.V,D,20201212,0,206.2200000,207.1800000,206.2200000,206.3600000,1193
SPBEX.V,D,20201214,0,207.5900000,211.2500000,206.0800000,207.2400000,193807
SPBEX.V,D,20201215,0,207.3200000,209.4400000,206.1900000,208.3200000,186048
SPBEX.V,D,20201216,0,208.3600000,209.5700000,207.1200000,208.1800000,168675
SPBEX.V,D,20201217,0,209.0000000,211.8000000,208.0200000,211.1900000,220627
SPBEX.V,D,20201218,0,211.1800000,212.1100000,209.8600000,211.3700000,185280
SPBEX.V,D,20201219,0,211.3100000,211.9500000,211.0600000,211.9000000,3688
SPBEX.V,D,20201221,0,211.4100000,211.5000000,204.8000000,209.0800000,221607
SPBEX.V,D,20201222,0,209.0000000,209.5200000,205.6000000,205.7400000,212442
SPBEX.V,D,20201223,0,205.7500000,207.6500000,205.1300000,205.2300000,222531
SPBEX.V,D,20201224,0,205.3000000,208.9900000,205.0300000,208.5100000,116738
SPBEX.V,D,20201228,0,208.7900000,213.4600000,208.3000000,212.5000000,198076
SPBEX.V,D,20201229,0,212.5600000,215.2400000,212.0000000,214.2900000,193863
SPBEX.V,D,20201230,0,214.3700000,220.3900000,213.7000000,218.3300000,276962
